# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
1,Extraction,Kernel PCA,0.5794769230769231,0.503921568627451,0.41686211377647575,0.503921568627451,0.37346417847442703
1,Extraction,PCA,0.5922307692307692,0.5150980392156862,0.5184841391218447,0.5150980392156862,0.46086163796386026
1,Extraction,UMAP,0.5122923076923077,0.5290196078431372,0.5249469378698759,0.5290196078431372,0.5086616263758035
1,Selection,ANOVA F-value,0.6416153846153846,0.6705882352941177,0.752007720097746,0.6705882352941177,0.6365976113585746
1,Selection,Chi-Squared,0.6477846153846153,0.6768627450980392,0.7555450156566869,0.6768627450980392,0.6449142393027436
1,Selection,Mutual Information,0.6059846153846153,0.6347058823529411,0.6917112969860761,0.6347058823529411,0.5941860427954251
10,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
10,Extraction,PCA,0.7318769230769232,0.656470588235294,0.6719187774564969,0.656470588235294,0.6465325845877034
10,Extraction,UMAP,0.5755076923076924,0.5515686274509803,0.5688176748248478,0.5515686274509803,0.5058371017919843
10,Selection,ANOVA F-value,0.7361692307692309,0.6911764705882352,0.7101005380134866,0.6911764705882352,0.6826994710539558
10,Selection,Chi-Squared,0.7315846153846154,0.6892156862745097,0.709024716697884,0.6892156862745097,0.6802385064180504
10,Selection,Mutual Information,0.7437384615384615,0.7166666666666667,0.7612588381682813,0.7166666666666667,0.7026952016920451
20,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
20,Extraction,PCA,0.7471538461538464,0.6652941176470588,0.6800752096642165,0.6652941176470588,0.656725021459551
20,Extraction,UMAP,0.5792461538461537,0.558235294117647,0.5892892602476804,0.558235294117647,0.5102514135663168
20,Selection,ANOVA F-value,0.7587384615384615,0.6925490196078431,0.7001467938865416,0.6925490196078431,0.6887530504305112
20,Selection,Chi-Squared,0.7575538461538461,0.6907843137254902,0.697572343925755,0.6907843137254902,0.6870843103777509
20,Selection,Mutual Information,0.740876923076923,0.6929411764705883,0.7170538413462414,0.6929411764705883,0.683040515658799
30,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
30,Extraction,PCA,0.757323076923077,0.674313725490196,0.6859767096251096,0.674313725490196,0.6677599312773792
30,Extraction,UMAP,0.5789076923076923,0.5635294117647058,0.5912771164690983,0.5635294117647058,0.5178192248290034
30,Selection,ANOVA F-value,0.7695230769230769,0.6962745098039214,0.7031250204288519,0.6962745098039214,0.6930323908584082
30,Selection,Chi-Squared,0.7789076923076922,0.701372549019608,0.7077696006119951,0.701372549019608,0.6984811182042931
30,Selection,Mutual Information,0.738953846153846,0.6933333333333332,0.7087859071370468,0.6933333333333332,0.686333547062874
40,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
40,Extraction,PCA,0.7629846153846152,0.6864705882352939,0.696490116132481,0.6864705882352939,0.6809897732961647
40,Extraction,UMAP,0.5782307692307692,0.5496078431372549,0.5828339397262463,0.5496078431372549,0.49815924060819944
40,Selection,ANOVA F-value,0.7707384615384615,0.7005882352941175,0.7065578468222552,0.7005882352941175,0.6977305668918156
40,Selection,Chi-Squared,0.7865076923076922,0.7098039215686275,0.7154425076443363,0.7098039215686275,0.707409245563354
40,Selection,Mutual Information,0.7353076923076923,0.685686274509804,0.699289861061716,0.685686274509804,0.6794148673149465
50,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
50,Extraction,PCA,0.7656923076923079,0.6892156862745097,0.6968920567087907,0.6892156862745097,0.6849348476069956
50,Extraction,UMAP,0.5869538461538462,0.5568627450980391,0.583070970002394,0.5568627450980391,0.5056702133671905
50,Selection,ANOVA F-value,0.7742615384615386,0.7009803921568627,0.7065505321784896,0.7009803921568627,0.6982926905080982
50,Selection,Chi-Squared,0.7847076923076922,0.7078431372549019,0.7128502086413688,0.7078431372549019,0.7056231232190665
50,Selection,Mutual Information,0.730646153846154,0.6845098039215685,0.6955789826099544,0.6845098039215685,0.6790172918513383
60,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
60,Extraction,PCA,0.7704307692307693,0.693529411764706,0.7006772360178644,0.693529411764706,0.6899995560888005
60,Extraction,UMAP,0.5831846153846153,0.5537254901960784,0.5809196188467611,0.5537254901960784,0.5022064481345878
60,Selection,ANOVA F-value,0.7739692307692307,0.7003921568627451,0.7059922820989205,0.7003921568627451,0.6977178727692902
60,Selection,Chi-Squared,0.7819384615384615,0.7047058823529413,0.7094629088358383,0.7047058823529413,0.702552105065109
60,Selection,Mutual Information,0.7355076923076925,0.6798039215686277,0.6889273524700747,0.6798039215686277,0.6748528993152958
70,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
70,Extraction,PCA,0.7699384615384615,0.692156862745098,0.6981489681615904,0.692156862745098,0.689186281511956
70,Extraction,UMAP,0.5752153846153846,0.5549019607843136,0.5830626373180051,0.5549019607843136,0.502336925224871
70,Selection,ANOVA F-value,0.7746461538461539,0.7001960784313725,0.7059698360910986,0.7001960784313725,0.6975559746996232
70,Selection,Chi-Squared,0.7804307692307692,0.7052941176470588,0.7101300893014931,0.7052941176470588,0.7032006061033822
70,Selection,Mutual Information,0.7333538461538461,0.6794117647058823,0.6874547418353641,0.6794117647058823,0.6750479604728552
80,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
80,Extraction,PCA,0.7700615384615384,0.6901960784313727,0.696520330231466,0.6901960784313727,0.6868339901801584
