# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
1,Extraction,Kernel PCA,0.5101846153846155,0.5078431372549019,0.5085417357678521,0.5078431372549019,0.5025897113331852
1,Extraction,PCA,0.5087307692307692,0.5005882352941177,0.500514762813594,0.5005882352941177,0.4966284354661547
1,Extraction,UMAP,0.5072615384615385,0.49745098039215685,0.4381908439520653,0.49745098039215685,0.41885815473447285
1,Selection,ANOVA F-value,0.6463538461538461,0.6525490196078433,0.7796565647611896,0.6525490196078433,0.6035817777615166
1,Selection,Chi-Squared,0.6214230769230769,0.6286274509803922,0.7644976910944089,0.6286274509803922,0.564095261557743
1,Selection,Mutual Information,0.6112384615384614,0.6125490196078431,0.6490987258877446,0.6125490196078431,0.5396537634149474
10,Extraction,Kernel PCA,0.6276846153846154,0.5909803921568628,0.59445883731888,0.5909803921568628,0.5872204548334552
10,Extraction,PCA,0.618476923076923,0.5809803921568627,0.5822622098071303,0.5809803921568627,0.579397534615994
10,Extraction,UMAP,0.5402615384615385,0.5315686274509804,0.5315400622651838,0.5315686274509804,0.515755698248435
10,Selection,ANOVA F-value,0.6886307692307692,0.6460784313725491,0.6509155900143608,0.6460784313725491,0.642880474149264
10,Selection,Chi-Squared,0.7099846153846154,0.688235294117647,0.709463615359476,0.688235294117647,0.6783388220710813
10,Selection,Mutual Information,0.6981615384615384,0.6790196078431373,0.7074020711768118,0.6790196078431373,0.667946625786172
20,Extraction,Kernel PCA,0.6326153846153847,0.5923529411764705,0.5952905856926666,0.5923529411764705,0.5888833509642586
20,Extraction,PCA,0.6396307692307692,0.5984313725490196,0.6003062382311666,0.5984313725490196,0.5960432025384871
20,Extraction,UMAP,0.5419846153846153,0.5290196078431372,0.5296427364462033,0.5290196078431372,0.5093609049096031
20,Selection,ANOVA F-value,0.7239769230769233,0.6611764705882354,0.6646770838226881,0.6611764705882354,0.6588602961793371
20,Selection,Chi-Squared,0.7109307692307693,0.6764705882352942,0.6854802825903471,0.6764705882352942,0.6718799616095487
20,Selection,Mutual Information,0.7124461538461537,0.6735294117647059,0.6816965760993157,0.6735294117647059,0.669410981465695
30,Extraction,Kernel PCA,0.6286769230769231,0.5892156862745097,0.5919049768682643,0.5892156862745097,0.5847845970263225
30,Extraction,PCA,0.6385076923076923,0.6017647058823529,0.6036444433021917,0.6017647058823529,0.5998591218067744
30,Extraction,UMAP,0.5583692307692307,0.5360784313725491,0.5416107368437557,0.5360784313725491,0.5210223549678868
30,Selection,ANOVA F-value,0.7394923076923077,0.673921568627451,0.6780267441003687,0.673921568627451,0.6718504252417206
30,Selection,Chi-Squared,0.7169692307692307,0.6733333333333335,0.6798604586067909,0.6733333333333335,0.669575788655152
30,Selection,Mutual Information,0.714923076923077,0.6572549019607843,0.6630719850644081,0.6572549019607843,0.6538178170953384
40,Extraction,Kernel PCA,0.6235461538461539,0.5911764705882353,0.5933445524998147,0.5911764705882353,0.5873641975794267
40,Extraction,PCA,0.6319076923076924,0.5890196078431371,0.5910989503876288,0.5890196078431371,0.5863701345673458
40,Extraction,UMAP,0.5685999999999999,0.5492156862745098,0.5553723232648168,0.5492156862745098,0.5286240934593266
40,Selection,ANOVA F-value,0.7456769230769232,0.6801960784313726,0.6845951670388163,0.6801960784313726,0.6780430223336326
40,Selection,Chi-Squared,0.7242692307692308,0.6756862745098039,0.6804718221440118,0.6756862745098039,0.6731555814953819
40,Selection,Mutual Information,0.7243692307692308,0.6641176470588235,0.6692086009198133,0.6641176470588235,0.6613496948084623
50,Extraction,Kernel PCA,0.6223384615384616,0.5874509803921568,0.5897463745335554,0.5874509803921568,0.5831860633650445
50,Extraction,PCA,0.6369153846153847,0.601764705882353,0.6037695456646947,0.601764705882353,0.5988505613035435
50,Extraction,UMAP,0.5596,0.5396078431372547,0.5456291021759834,0.5396078431372547,0.5207689434482269
50,Selection,ANOVA F-value,0.7560153846153849,0.6874509803921568,0.692637057419648,0.6874509803921568,0.6851324677347403
50,Selection,Chi-Squared,0.7329692307692305,0.6768627450980393,0.681147079060412,0.6768627450980393,0.6746231637905978
50,Selection,Mutual Information,0.7324692307692307,0.6741176470588236,0.6778603529960522,0.6741176470588236,0.6721480845928801
60,Extraction,Kernel PCA,0.6346,0.5888235294117646,0.5918216897745909,0.5888235294117646,0.5829303215869566
60,Extraction,PCA,0.643776923076923,0.6037254901960785,0.6066269731845835,0.6037254901960785,0.5996203127392397
60,Extraction,UMAP,0.5597538461538462,0.5390196078431373,0.5425252365629195,0.5390196078431373,0.5201172428299681
60,Selection,ANOVA F-value,0.7640307692307693,0.6923529411764706,0.6974197868970569,0.6923529411764706,0.6900691073228713
60,Selection,Chi-Squared,0.7330538461538463,0.6719607843137255,0.6749481222707198,0.6719607843137255,0.6702985216345145
60,Selection,Mutual Information,0.726723076923077,0.6611764705882354,0.6639663465633714,0.6611764705882354,0.6594469172257927
70,Extraction,Kernel PCA,0.6267384615384616,0.5874509803921568,0.5909147213795481,0.5874509803921568,0.5796353530190026
70,Extraction,PCA,0.6366538461538461,0.6011764705882352,0.6045580122192349,0.6011764705882352,0.5965566190597246
70,Extraction,UMAP,0.5506615384615384,0.5329411764705883,0.5360986314634666,0.5329411764705883,0.5121241365957904
70,Selection,ANOVA F-value,0.7706307692307693,0.7017647058823531,0.7071860410461384,0.7017647058823531,0.6993778648846823
70,Selection,Chi-Squared,0.7321461538461539,0.6668627450980393,0.6704282330324761,0.6668627450980393,0.6649155110096288
70,Selection,Mutual Information,0.7427384615384617,0.681176470588235,0.6856694768556642,0.681176470588235,0.6787356451674086
80,Extraction,Kernel PCA,0.6280307692307692,0.58,0.5835434166271384,0.58,0.5727481904697062
80,Extraction,PCA,0.6363,0.6021568627450979,0.6058528809174589,0.6021568627450979,0.5976795213008999
80,Extraction,UMAP,0.5470307692307692,0.5323529411764706,0.5362472323432125,0.5323529411764706,0.5114654870675457
80,Selection,ANOVA F-value,0.7699538461538462,0.7041176470588235,0.7105852807036331,0.7041176470588235,0.7011463888624418
