# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
1,Extraction,Kernel PCA,0.5856267806267806,0.504,0.4302809274906193,0.504,0.3774907665388906
1,Extraction,PCA,0.5923717948717948,0.543372549019608,0.5647248638543007,0.543372549019608,0.49602099151983614
1,Extraction,UMAP,0.4935090218423552,0.5431372549019609,0.5431056947270434,0.5431372549019609,0.5193936929209417
1,Selection,ANOVA F-value,0.656494301994302,0.6851764705882353,0.7670079018561992,0.6851764705882353,0.6547058182206269
1,Selection,Chi-Squared,0.656494301994302,0.6851764705882353,0.7670079018561992,0.6851764705882353,0.6547058182206269
1,Selection,Mutual Information,0.6417051282051282,0.6694901960784314,0.7596796525142198,0.6694901960784314,0.6320292795690962
10,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
10,Extraction,PCA,0.7348665716999051,0.6495686274509804,0.6717891367408273,0.6495686274509804,0.6396969744832445
10,Extraction,UMAP,0.5614829059829061,0.5711372549019609,0.6164472519375328,0.5711372549019609,0.523430261143473
10,Selection,ANOVA F-value,0.7183461538461539,0.6579607843137255,0.6666255938861718,0.6579607843137255,0.6507434389846793
10,Selection,Chi-Squared,0.7417701804368472,0.6930980392156864,0.7076401512412129,0.6930980392156864,0.6833264281704127
10,Selection,Mutual Information,0.7279107312440647,0.7006274509803923,0.7400402106181826,0.7006274509803923,0.6848194389569764
20,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
20,Extraction,PCA,0.7588252611585945,0.6575686274509804,0.6862717738184022,0.6575686274509804,0.6444275777304366
20,Extraction,UMAP,0.5896856600189935,0.5708235294117647,0.5727685357021219,0.5708235294117647,0.5574717112520229
20,Selection,ANOVA F-value,0.6875265906932574,0.6104313725490196,0.6092889650843616,0.6104313725490196,0.6068464205908295
20,Selection,Chi-Squared,0.6939558404558405,0.6537254901960784,0.6563398249615822,0.6537254901960784,0.6476013748238812
20,Selection,Mutual Information,0.7242065527065528,0.6773333333333333,0.6972748416024451,0.6773333333333333,0.6665344048495225
30,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
30,Extraction,PCA,0.7650546058879393,0.6496470588235295,0.6642642872898628,0.6496470588235295,0.6410625681437565
30,Extraction,UMAP,0.6376899335232669,0.5829803921568628,0.5971167307637897,0.5829803921568628,0.549643741677946
30,Selection,ANOVA F-value,0.704866571699905,0.6537254901960784,0.6560416267717432,0.6537254901960784,0.6506095554209144
30,Selection,Chi-Squared,0.7316301044634378,0.6812549019607843,0.6890948056415549,0.6812549019607843,0.6762476661044896
30,Selection,Mutual Information,0.7239226020892688,0.6732549019607844,0.6806939527117012,0.6732549019607844,0.6682411677548178
40,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
40,Extraction,PCA,0.7593955365622033,0.6655686274509802,0.6775983616806782,0.6655686274509802,0.6599428827664122
40,Extraction,UMAP,0.6351790123456791,0.5788235294117647,0.6057267834455783,0.5788235294117647,0.546128229445187
40,Selection,ANOVA F-value,0.7213528015194682,0.6536470588235295,0.6558178680031663,0.6536470588235295,0.6507367298736966
40,Selection,Chi-Squared,0.7378209876543209,0.6810980392156863,0.6868323437568569,0.6810980392156863,0.6770014788272507
40,Selection,Mutual Information,0.7120071225071225,0.6733333333333335,0.6822419338105613,0.6733333333333335,0.6681473301436089
50,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
50,Extraction,PCA,0.7742915479582146,0.6930980392156864,0.7038264330234124,0.6930980392156864,0.6885603724665901
50,Extraction,UMAP,0.5495413105413105,0.535607843137255,0.5479033432494445,0.535607843137255,0.49573793929241206
50,Selection,ANOVA F-value,0.7223224121557454,0.6890980392156862,0.6946323450175629,0.6890980392156862,0.6854750273015622
50,Selection,Chi-Squared,0.7152758784425451,0.6772549019607844,0.682063127458114,0.6772549019607844,0.6732971030855409
50,Selection,Mutual Information,0.6964316239316239,0.6536470588235295,0.6595106485428309,0.6536470588235295,0.6487843389916026
60,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
60,Extraction,PCA,0.7821405508072174,0.7127843137254901,0.7253670709160905,0.7127843137254901,0.7090348048631652
60,Extraction,UMAP,0.5167155745489078,0.5277647058823529,0.5333364710664732,0.5277647058823529,0.4877443573738304
60,Selection,ANOVA F-value,0.728084995251662,0.6732549019607844,0.6780182001845573,0.6732549019607844,0.669165841145518
60,Selection,Chi-Squared,0.7286381766381768,0.7088627450980394,0.7118929473974169,0.7088627450980394,0.7069006529106691
60,Selection,Mutual Information,0.6966495726495726,0.6655686274509804,0.6691271904363254,0.6655686274509804,0.6632072789159701
70,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
70,Extraction,PCA,0.7833727445394112,0.7088627450980391,0.7307033557271682,0.7088627450980391,0.7019988717733219
70,Extraction,UMAP,0.5731785375118708,0.5749803921568628,0.5874608884628517,0.5749803921568628,0.5473204940444643
70,Selection,ANOVA F-value,0.731758309591643,0.6733333333333332,0.6769818124835926,0.6733333333333332,0.6706149936642228
70,Selection,Chi-Squared,0.7339093067426401,0.6931764705882353,0.6963063658901387,0.6931764705882353,0.6907818539408026
70,Selection,Mutual Information,0.7015930674264008,0.6773333333333333,0.6810440183591209,0.6773333333333333,0.6748841229589682
80,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
80,Extraction,PCA,0.7731153846153846,0.6890980392156862,0.7065851798123898,0.6890980392156862,0.6815085708475912
80,Extraction,UMAP,0.5542630579297246,0.5514509803921569,0.5700283189388049,0.5514509803921569,0.4922720227239174
80,Selection,ANOVA F-value,0.7277991452991454,0.6694901960784314,0.6739558462887135,0.6694901960784314,0.6665313645110806
80,Selection,Chi-Squared,0.7380389363722697,0.7050980392156863,0.7075319816819655,0.7050980392156863,0.7031520663903896
80,Selection,Mutual Information,0.7121348528015194,0.6616470588235293,0.6658950171136723,0.6616470588235293,0.6595294807672759
90,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
90,Extraction,PCA,0.7691101614434948,0.6694901960784314,0.6800044912304077,0.6694901960784314,0.6640749561763204
90,Extraction,UMAP,0.5598252611585945,0.5594509803921569,0.5927993477870358,0.5594509803921569,0.5233515625120277
90,Selection,ANOVA F-value,0.7295693257359924,0.6811764705882354,0.6857163830567536,0.6811764705882354,0.6781331212577099
90,Selection,Chi-Squared,0.7628803418803419,0.7048627450980393,0.7107416689500364,0.7048627450980393,0.7017296951746832
90,Selection,Mutual Information,0.7326215574548908,0.6654117647058824,0.666827194783194,0.6654117647058824,0.6644837510552888
100,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
100,Extraction,PCA,0.7577350427350428,0.6850980392156863,0.6949517387498185,0.6850980392156863,0.6800685512456629
100,Extraction,UMAP,0.5654544159544159,0.551372549019608,0.586662254610866,0.551372549019608,0.5050298406940501
100,Selection,ANOVA F-value,0.7311244064577398,0.6693333333333334,0.6722016214581653,0.6693333333333334,0.6667531546433824
100,Selection,Chi-Squared,0.7561937321937322,0.7088627450980394,0.7124407734427676,0.7088627450980394,0.7067344667876221
100,Selection,Mutual Information,0.7322193732193732,0.6773333333333333,0.6793213180758122,0.6773333333333333,0.6758986600561226
110,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
110,Extraction,PCA,0.7606358024691358,0.6891764705882354,0.6940283031389831,0.6891764705882354,0.6859469832271549
110,Extraction,UMAP,0.5327682811016144,0.527921568627451,0.5523649932454886,0.527921568627451,0.49202153857633935
110,Selection,ANOVA F-value,0.728309591642925,0.6771764705882354,0.6816657801790835,0.6771764705882354,0.6737194558404124
110,Selection,Chi-Squared,0.7574373219373218,0.7284705882352942,0.7317877764289447,0.7284705882352942,0.7265856007890454
110,Selection,Mutual Information,0.7182839506172839,0.6931764705882353,0.6949521680491844,0.6931764705882353,0.6922344398142635
120,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
120,Extraction,PCA,0.7807345679012346,0.7126274509803923,0.7239097941906291,0.7126274509803923,0.7072777725656982
120,Extraction,UMAP,0.5591253561253561,0.5434509803921569,0.5487527850755971,0.5434509803921569,0.5081478715301825
