# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
1,Extraction,Kernel PCA,0.44638224121557457,0.45662745098039215,0.4594327212366428,0.45662745098039215,0.4516216301459267
1,Extraction,PCA,0.4633454415954416,0.46039215686274504,0.4600603318250377,0.46039215686274504,0.459122951398368
1,Extraction,UMAP,0.5229335232668566,0.507843137254902,0.4613233573799139,0.507843137254902,0.4737278737774093
1,Selection,ANOVA F-value,0.6501538461538461,0.6614901960784314,0.7865788549780267,0.6614901960784314,0.6124432767458889
1,Selection,Chi-Squared,0.6251538461538462,0.6376470588235295,0.7784978160869847,0.6376470588235295,0.5730091265748966
1,Selection,Mutual Information,0.5729679487179486,0.563607843137255,0.4382189625263746,0.563607843137255,0.4523238343184164
10,Extraction,Kernel PCA,0.5989000474833808,0.5668235294117647,0.5738225248574962,0.5668235294117647,0.5591407953023643
10,Extraction,PCA,0.6539306742640075,0.6142745098039215,0.6173778939446459,0.6142745098039215,0.6128241130218964
10,Extraction,UMAP,0.4939738841405508,0.5,0.49500615545224,0.5,0.47003621612765556
10,Selection,ANOVA F-value,0.7113691832858501,0.6538039215686273,0.6545987607164078,0.6538039215686273,0.6524084918381681
10,Selection,Chi-Squared,0.6925140075973409,0.6696470588235295,0.690994762919316,0.6696470588235295,0.6563265755798151
10,Selection,Mutual Information,0.7335441595441596,0.6968627450980392,0.741903206719534,0.6968627450980392,0.6796258339544299
20,Extraction,Kernel PCA,0.5981524216524216,0.5593725490196079,0.5633856980990144,0.5593725490196079,0.5570160670056489
20,Extraction,PCA,0.6365916429249763,0.5629019607843138,0.5674464166624978,0.5629019607843138,0.5551990653530731
20,Extraction,UMAP,0.49837369420702754,0.4684705882352941,0.4529957708229954,0.4684705882352941,0.44581740749285287
20,Selection,ANOVA F-value,0.7524453941120608,0.6734901960784313,0.6765815091483602,0.6734901960784313,0.6711098315675381
20,Selection,Chi-Squared,0.6507424026590694,0.6377254901960785,0.6540341666299475,0.6377254901960785,0.6278112597352796
20,Selection,Mutual Information,0.7498924501424502,0.6769411764705883,0.6837115194532958,0.6769411764705883,0.6726324484599063
30,Extraction,Kernel PCA,0.6005075973409307,0.5908235294117647,0.5938920073958437,0.5908235294117647,0.5885637810617144
30,Extraction,PCA,0.6476666666666666,0.6145098039215686,0.6147610416515622,0.6145098039215686,0.6114131923251431
30,Extraction,UMAP,0.5681908831908832,0.5828235294117647,0.6159716726684061,0.5828235294117647,0.5546807096951196
30,Selection,ANOVA F-value,0.7594216524216524,0.6814117647058824,0.6843895782872425,0.6814117647058824,0.6796510421207309
30,Selection,Chi-Squared,0.6991172839506172,0.6656470588235294,0.667499542988034,0.6656470588235294,0.6626814049421027
