# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
1,Extraction,Kernel PCA,0.48861538461538456,0.4862745098039215,0.4861733859904193,0.4862745098039215,0.48060508569899696
1,Extraction,PCA,0.5944615384615386,0.580392156862745,0.5866467979985888,0.580392156862745,0.5764152784914301
1,Extraction,UMAP,0.45569230769230773,0.46274509803921565,0.36541241769038774,0.46274509803921565,0.3972193862764623
1,Selection,ANOVA F-value,0.6321538461538462,0.6392156862745098,0.7785474289476386,0.6392156862745098,0.5824252512111927
1,Selection,Chi-Squared,0.6161538461538462,0.6235294117647058,0.7645553586895837,0.6235294117647058,0.5582678758427446
1,Selection,Mutual Information,0.5720000000000001,0.5764705882352941,0.5711213141166793,0.5764705882352941,0.47003136291986636
50,Extraction,Kernel PCA,0.5696923076923077,0.5450980392156863,0.5463975728398776,0.5450980392156863,0.5422249584669647
50,Extraction,PCA,0.6218461538461538,0.5647058823529412,0.565296024512387,0.5647058823529412,0.5641614996802355
50,Extraction,UMAP,0.6083076923076922,0.5647058823529412,0.5670406401236756,0.5647058823529412,0.5471966609522798
50,Selection,ANOVA F-value,0.7590769230769231,0.7137254901960783,0.7183446911474577,0.7137254901960783,0.7119767261915776
50,Selection,Chi-Squared,0.6947692307692308,0.6313725490196078,0.6333780027472801,0.6313725490196078,0.6297579046934563
50,Selection,Mutual Information,0.730923076923077,0.6627450980392157,0.6649997293603431,0.6627450980392157,0.661462317848197
100,Extraction,Kernel PCA,0.5672307692307693,0.5411764705882354,0.5407792937963716,0.5411764705882354,0.534393785892924
100,Extraction,PCA,0.6112307692307691,0.5529411764705883,0.5540677167399023,0.5529411764705883,0.5492104194316537
100,Extraction,UMAP,0.6058461538461538,0.5803921568627451,0.5935356591053604,0.5803921568627451,0.5595774463252811
100,Selection,ANOVA F-value,0.7618461538461538,0.6941176470588235,0.6985395885327839,0.6941176470588235,0.6918978244166514
100,Selection,Chi-Squared,0.7184615384615384,0.6392156862745099,0.6401497372886973,0.6392156862745099,0.6389137344342671
100,Selection,Mutual Information,0.744923076923077,0.6901960784313725,0.693923837573259,0.6901960784313725,0.6882054038120685
200,Extraction,Kernel PCA,0.589076923076923,0.5529411764705883,0.5559092318908778,0.5529411764705883,0.5370997743063599
200,Extraction,PCA,0.5956923076923077,0.5294117647058824,0.529663771868028,0.5294117647058824,0.5203694638044423
200,Extraction,UMAP,0.572,0.5568627450980392,0.5622798460168702,0.5568627450980392,0.5424839179445129
200,Selection,ANOVA F-value,0.7683076923076924,0.7058823529411764,0.7129408155823624,0.7058823529411764,0.7028759363708563
200,Selection,Chi-Squared,0.6935384615384615,0.6313725490196078,0.6340514550183245,0.6313725490196078,0.6281133311963816
200,Selection,Mutual Information,0.7113846153846153,0.627450980392157,0.6295982994110904,0.627450980392157,0.6254571999084085
All Features,Baseline,Light Gradient Boosting Model,0.7542153846153845,0.6784313725490196,0.6811682490626965,0.6784313725490196,0.6763672226518986
